name,gender
Images/Rahul Dravid_M_33.jpg,male
Images/Sachin Tendulkar_M_35.jpg,male
Images/Sourav Ganguly_M_27.jpg,male
Images/Virender Sehwag_M_39.jpg,male
Images/VVS Laxman_M_42.jpg,male
Images/Mohammad Sami_M_35.jpg,male
Images/Shoaib Akhtar_M_40.jpg,male
Images/Shabbir Ahmed_M_29.jpg,male
Images/Adam Gilchrist_M_44.jpg,male
Images/Mohammad Yousuf_M_34.jpg,male
Images/Ricky Ponting_M_36.jpg,male
Images/Inzamam-ul-Haq_M_28.jpg,male
Images/Glenn McGrath_M_34.jpg,male
Images/Shoaib Malik_M_34.jpg,male
Images/Andrew Symonds_M_43.jpg,male
Images/Jason Gillespie_M_40.jpg,male
Images/Brett Lee_M_32.jpg,male
Images/Marcus Trescothick_M_42.jpg,male
Images/Stephen Fleming_M_34.jpg,male
Images/Nathan Astle_M_47.jpg,male
Images/Chris Cairns_M_42.jpg,male
Images/Scott Styris_M_43.jpg,male
Images/Jacob Oram_M_38.jpg,male
Images/Hamish Marshall_M_30.jpg,male
Images/Craig McMillan_M_43.jpg,male
Images/Andrew Flintoff_M_27.jpg,male
Images/Steve Harmison_M_33.jpg,male
Images/Darren Gough_M_38.jpg,male
Images/James Anderson_M_34.jpg,male
Images/Paul Collingwood_M_42.jpg,male
Images/Zaheer Khan_M_38.jpg,male
Images/Yuvraj Singh_M_34.jpg,male
Images/Parthiv Patel_M_30.jpg,male
Images/Mohammad Kaif_M_37.jpg,male
Images/Irfan Pathan_M_33.jpg,male
Images/Harbhajan Singh_M_36.jpg,male
Images/Yasir Hameed_M_30.jpg,male
Images/Taufeeq Umar_M_37.jpg,male
Images/Kamran Akmal_M_28.jpg,male
Images/Arshad Ali_M_43.jpg,male
Images/Khurram Khan_M_30.jpg,male
Images/Mohammad Tauqir_M_33.jpg,male
Images/Abdul Razzaq_M_35.jpg,male
Images/Lakshmipathy Balaji_M_37.jpg,male
Images/Anil Kumble_M_45.jpg,male
Images/Sanath Jayasuriya_M_33.jpg,male
Images/Kumar Sangakkara_M_39.jpg,male
Images/Marvan Atapattu_M_39.jpg,male
Images/Mahela Jayawardene_M_33.jpg,male
Images/Tillakaratne Dilshan_M_39.jpg,male
Images/Thilina Kandamby_M_34.jpg,male
Images/Upul Chandana_M_38.jpg,male
Images/Muttiah Muralitharan_M_45.jpg,male
Images/Lasith Malinga_M_34.jpg,male
Images/Nuwan Zoysa_M_39.jpg,male
Images/Avishka Gunawardene_M_33.jpg,male
Images/Chaminda Vaas_M_37.jpg,male
Images/Farveez Maharoof_M_28.jpg,male
