name,gender
FinalData/Images/Mujeeb Ur Rahman_M_17.jpg,male
FinalData/Images/Qiana Joseph_F_17.jpg,female
FinalData/Images/Nayeem Hasan_M_17.jpg,male
FinalData/Images/rachel-trenaman_F_17.jpg,female
FinalData/Images/Riyan Parag_M_17.jpg,male
FinalData/Images/annabel-sutherland_F_17.jpg,female
FinalData/Images/Hamidullah Qadri_M_17.jpg,male
FinalData/Images/kavisha-dilhari_F_17.jpg,female
FinalData/Images/Tariq Stanikzai_M_18.jpg,male
FinalData/Images/Nahida Akter_F_18.jpg,female
FinalData/Images/Sandeep Lamichhane_M_18.jpg,male
FinalData/Images/Nadine de Klerk_F_18.jpg,female
FinalData/Images/Darwish Rasooli_M_18.jpg,male
FinalData/Images/jemimah-rodrigues_F_18.jpg,female
FinalData/Images/Abhishek Sharma_M_18.jpg,male
FinalData/Images/akeira-peters_F_18.jpg,female
FinalData/Images/Shaheen Afridi_M_18.jpg,male
FinalData/Images/gaby-lewis_F_18.jpg,female
FinalData/Images/Wafadar_M_18.jpg,male
FinalData/Images/carly-leeson_F_18.jpg,female
FinalData/Images/Kalana Perera_M_18.jpg,male
FinalData/Images/fahima-khatun_F_18.jpg,female
FinalData/Images/Muhammad Mohsin Khan_M_18.jpg,male
FinalData/Images/amelia-kerr_F_18.jpg,female
FinalData/Images/Mohammad Taha_M_18.jpg,male
FinalData/Images/saskia-horley_F_18.jpg,female
FinalData/Images/Azmatullah Omarzai_M_18.jpg,male
FinalData/Images/kath-hempenstall_F_18.jpg,female
FinalData/Images/Nipun Dananjaya_M_18.jpg,male
FinalData/Images/maisy-gibson_F_18.jpg,female
FinalData/Images/Roni Hossen_M_18.jpg,male
FinalData/Images/eliza-doddridge_F_18.jpg,female
FinalData/Images/Max Neville_M_18.jpg,male
FinalData/Images/moseline-daniels_F_18.jpg,female
FinalData/Images/Gerald Coetzee_M_18.jpg,male
FinalData/Images/sheldyn-cooper_F_18.jpg,female
FinalData/Images/Andile Mokgakane_M_18.jpg,male
FinalData/Images/anam-amin_F_18.jpg,female
FinalData/Images/Thando Ntini_M_18.jpg,male
FinalData/Images/nahida-akter_F_18.jpg,female
FinalData/Images/Max Chu_M_18.jpg,male
FinalData/Images/aiman-anwer_F_18.jpg,female
FinalData/Images/Steve Kirby_M_19.jpg,male
FinalData/Images/Sophie Ecclestone_F_19.jpg,female
FinalData/Images/Zahir Khan_M_19.jpg,male
FinalData/Images/lara-maritz_F_19.jpg,female
FinalData/Images/Jehan Daniel_M_19.jpg,male
FinalData/Images/amy-edgar_F_19.jpg,female
FinalData/Images/Washington Sundar_M_19.jpg,male
FinalData/Images/hayleigh-brennan_F_19.jpg,female
FinalData/Images/Rachin Ravindra_M_19.jpg,male
FinalData/Images/lily-bardsley_F_19.jpg,female
FinalData/Images/Pinak Ghosh_M_19.jpg,male
FinalData/Images/tammy-beaumont_F_19.jpg,female
FinalData/Images/Gurdeep Singh_M_20.jpg,male
FinalData/Images/Harmanpreet Kaur_F_20.jpg,female
FinalData/Images/Ihsanullah Janat_M_20.jpg,male
FinalData/Images/Hayley Matthews_F_20.jpg,female
