name,gender
FinalData/Images/Rahul Dravid_M_33.jpg,male
FinalData/Images/Sachin Tendulkar_M_35.jpg,male
FinalData/Images/Sourav Ganguly_M_27.jpg,male
FinalData/Images/Virender Sehwag_M_39.jpg,male
FinalData/Images/Mohammad Sami_M_35.jpg,male
FinalData/Images/Shabbir Ahmed_M_29.jpg,male
FinalData/Images/Mohammad Yousuf_M_34.jpg,male
FinalData/Images/Ricky Ponting_M_36.jpg,male
FinalData/Images/Inzamam-ul-Haq_M_28.jpg,male
FinalData/Images/Glenn McGrath_M_34.jpg,male
FinalData/Images/Shoaib Malik_M_34.jpg,male
FinalData/Images/Brett Lee_M_32.jpg,male
FinalData/Images/Stephen Fleming_M_34.jpg,male
FinalData/Images/Jacob Oram_M_38.jpg,male
FinalData/Images/Hamish Marshall_M_30.jpg,male
FinalData/Images/Andrew Flintoff_M_27.jpg,male
FinalData/Images/Steve Harmison_M_33.jpg,male
FinalData/Images/Darren Gough_M_38.jpg,male
FinalData/Images/James Anderson_M_34.jpg,male
FinalData/Images/Zaheer Khan_M_38.jpg,male
FinalData/Images/Yuvraj Singh_M_34.jpg,male
FinalData/Images/Parthiv Patel_M_30.jpg,male
FinalData/Images/Mohammad Kaif_M_37.jpg,male
FinalData/Images/Irfan Pathan_M_33.jpg,male
FinalData/Images/Harbhajan Singh_M_36.jpg,male
FinalData/Images/Yasir Hameed_M_30.jpg,male
FinalData/Images/Taufeeq Umar_M_37.jpg,male
FinalData/Images/Kamran Akmal_M_28.jpg,male
FinalData/Images/Khurram Khan_M_30.jpg,male
FinalData/Images/Mohammad Tauqir_M_33.jpg,male
FinalData/Images/Abdul Razzaq_M_35.jpg,male
FinalData/Images/Lakshmipathy Balaji_M_37.jpg,male
FinalData/Images/Sanath Jayasuriya_M_33.jpg,male
FinalData/Images/Kumar Sangakkara_M_39.jpg,male
FinalData/Images/Marvan Atapattu_M_39.jpg,male
FinalData/Images/Mahela Jayawardene_M_33.jpg,male
FinalData/Images/Tillakaratne Dilshan_M_39.jpg,male
FinalData/Images/Thilina Kandamby_M_34.jpg,male
FinalData/Images/Upul Chandana_M_38.jpg,male
FinalData/Images/Lasith Malinga_M_34.jpg,male
FinalData/Images/Nuwan Zoysa_M_39.jpg,male
FinalData/Images/Avishka Gunawardene_M_33.jpg,male
FinalData/Images/Chaminda Vaas_M_37.jpg,male
FinalData/Images/Farveez Maharoof_M_28.jpg,male
FinalData/Images/Javed Omar_M_39.jpg,male
FinalData/Images/Alok Kapali_M_33.jpg,male
FinalData/Images/Rajin Saleh_M_33.jpg,male
FinalData/Images/Mohammad Ashraful_M_33.jpg,male
FinalData/Images/Khaled Mahmud_M_32.jpg,male
FinalData/Images/Khaled Mashud_M_32.jpg,male
FinalData/Images/Tapash Baisya_M_33.jpg,male
FinalData/Images/Abdur Razzak_M_34.jpg,male
FinalData/Images/Imran Nazir_M_26.jpg,male
FinalData/Images/Danish Kaneria_M_36.jpg,male
FinalData/Images/Imran Farhat_M_33.jpg,male
FinalData/Images/Damien Martyn_M_37.jpg,male
FinalData/Images/Michael Clarke_M_30.jpg,male
FinalData/Images/Shahid Afridi_M_37.jpg,male
FinalData/Images/Michael Kasprowicz_M_36.jpg,male
FinalData/Images/Brad Hogg_M_31.jpg,male
FinalData/Images/Salman Butt_M_34.jpg,male
FinalData/Images/Dinesh Karthik_M_33.jpg,male
FinalData/Images/Ajit Agarkar_M_32.jpg,male
FinalData/Images/Shane Watson_M_36.jpg,male
FinalData/Images/Brad Haddin_M_39.jpg,male
FinalData/Images/Andrew Strauss_M_39.jpg,male
FinalData/Images/Kabir Ali_M_35.jpg,male
FinalData/Images/Geraint Jones_M_32.jpg,male
FinalData/Images/Elton Chigumbura_M_30.jpg,male
FinalData/Images/Tatenda Taibu_M_34.jpg,male
