name,gender
FinalData/Images/VVS Laxman_M_42.jpg,male
FinalData/Images/Shoaib Akhtar_M_40.jpg,male
FinalData/Images/Adam Gilchrist_M_44.jpg,male
FinalData/Images/Andrew Symonds_M_43.jpg,male
FinalData/Images/Jason Gillespie_M_40.jpg,male
FinalData/Images/Marcus Trescothick_M_42.jpg,male
FinalData/Images/Nathan Astle_M_47.jpg,male
FinalData/Images/Chris Cairns_M_42.jpg,male
FinalData/Images/Scott Styris_M_43.jpg,male
FinalData/Images/Craig McMillan_M_43.jpg,male
FinalData/Images/Paul Collingwood_M_42.jpg,male
FinalData/Images/Arshad Ali_M_43.jpg,male
FinalData/Images/Anil Kumble_M_45.jpg,male
FinalData/Images/Muttiah Muralitharan_M_45.jpg,male
FinalData/Images/Habibul Bashar_M_45.jpg,male
FinalData/Images/Mohammad Rafique_M_45.jpg,male
FinalData/Images/Younis Khan_M_42.jpg,male
FinalData/Images/Shane Warne_M_43.jpg,male
FinalData/Images/Matthew Hayden_M_44.jpg,male
FinalData/Images/Michael Vaughan_M_44.jpg,male
FinalData/Images/Vikram Solanki_M_40.jpg,male
FinalData/Images/Ashley Giles_M_45.jpg,male
FinalData/Images/Daryl Tuffey_M_40.jpg,male
FinalData/Images/Mark Boucher_M_41.jpg,male
FinalData/Images/Shaun Pollock_M_45.jpg,male
FinalData/Images/Andre Nel_M_42.jpg,male
FinalData/Images/Misbah-ul-Haq_M_43.jpg,male
FinalData/Images/Rangana Herath_M_41.jpg,male
FinalData/Images/Justin Langer_M_46.jpg,male
FinalData/Images/Brad Hodge_M_44.jpg,male
FinalData/Images/Thilan Samaraweera_M_40.jpg,male
FinalData/Images/Pedro Collins_M_42.jpg,male
FinalData/Images/Craig Cumming_M_43.jpg,male
FinalData/Images/Daren Powell_M_40.jpg,male
FinalData/Images/Jon Lewis_M_40.jpg,male
FinalData/Images/Lou Vincent_M_40.jpg,male
FinalData/Images/Stuart Clark_M_44.jpg,male
FinalData/Images/Shaun Udal_M_50.jpg,male
FinalData/Images/Mick Lewis_M_44.jpg,male
FinalData/Images/Wasim Jaffer_M_40.jpg,male
FinalData/Images/Rawl Lewis_M_41.jpg,male
FinalData/Images/Roger Telemachus_M_46.jpg,male
FinalData/Images/Glen Chapple_M_44.jpg,male
FinalData/Images/Mal Loye_M_47.jpg,male
FinalData/Images/Gary Brent_M_42.jpg,male
FinalData/Images/Tyron Henderson_M_44.jpg,male
FinalData/Images/Paul Harris_M_40.jpg,male
FinalData/Images/Paul Nixon_M_47.jpg,male
FinalData/Images/Trent Johnston_M_43.jpg,male
FinalData/Images/Andre Botha_M_43.jpg,male
FinalData/Images/Dave Langford-Smith_M_40.jpg,male
FinalData/Images/Bas Zuiderent_M_42.jpg,male
FinalData/Images/Tim de Leede_M_50.jpg,male
FinalData/Images/Darron Reekers_M_44.jpg,male
FinalData/Images/Billy Stelling_M_40.jpg,male
FinalData/Images/Dougie Brown_M_49.jpg,male
FinalData/Images/Gavin Hamilton_M_44.jpg,male
FinalData/Images/Ryan Watson_M_42.jpg,male
FinalData/Images/Irving Romaine_M_46.jpg,male
FinalData/Images/Dwayne Leverock_M_48.jpg,male
FinalData/Images/John Davison_M_42.jpg,male
FinalData/Images/George Codrington_M_44.jpg,male
FinalData/Images/Sunil Dhaniram_M_44.jpg,male
FinalData/Images/Ashif Mulla_M_40.jpg,male
FinalData/Images/Edgar Schiferli_M_40.jpg,male
FinalData/Images/Arvind Kandappah_M_45.jpg,male
FinalData/Images/Aftab Shamsudeen_M_41.jpg,male
FinalData/Images/Ray Price_M_40.jpg,male
FinalData/Images/Chris Rogers_M_41.jpg,male
FinalData/Images/Abdur Rauf_M_41.jpg,male
FinalData/Images/Grant Elliott_M_41.jpg,male
FinalData/Images/Matthew Bell_M_41.jpg,male
FinalData/Images/Saqib Ali_M_40.jpg,male
FinalData/Images/Tabarak Dar_M_42.jpg,male
FinalData/Images/Roy Lamsam_M_40.jpg,male
FinalData/Images/Darren Pattinson_M_41.jpg,male
FinalData/Images/Bryce McGain_M_45.jpg,male
FinalData/Images/Jeevantha Kulatunga_M_46.jpg,male
