,name,gender
0,FinalData/Images/Mujeeb Ur Rahman_M_17.jpg,1
1,FinalData/Images/Qiana Joseph_F_17.jpg,0
2,FinalData/Images/Nayeem Hasan_M_17.jpg,1
3,FinalData/Images/rachel-trenaman_F_17.jpg,0
4,FinalData/Images/Riyan Parag_M_17.jpg,1
5,FinalData/Images/annabel-sutherland_F_17.jpg,0
6,FinalData/Images/Hamidullah Qadri_M_17.jpg,1
7,FinalData/Images/kavisha-dilhari_F_17.jpg,0
8,FinalData/Images/Tariq Stanikzai_M_18.jpg,1
9,FinalData/Images/Nahida Akter_F_18.jpg,0
10,FinalData/Images/Sandeep Lamichhane_M_18.jpg,1
11,FinalData/Images/Nadine de Klerk_F_18.jpg,0
12,FinalData/Images/Darwish Rasooli_M_18.jpg,1
13,FinalData/Images/jemimah-rodrigues_F_18.jpg,0
14,FinalData/Images/Abhishek Sharma_M_18.jpg,1
15,FinalData/Images/akeira-peters_F_18.jpg,0
16,FinalData/Images/Shaheen Afridi_M_18.jpg,1
17,FinalData/Images/gaby-lewis_F_18.jpg,0
18,FinalData/Images/Wafadar_M_18.jpg,1
19,FinalData/Images/carly-leeson_F_18.jpg,0
20,FinalData/Images/Kalana Perera_M_18.jpg,1
21,FinalData/Images/fahima-khatun_F_18.jpg,0
22,FinalData/Images/Muhammad Mohsin Khan_M_18.jpg,1
23,FinalData/Images/amelia-kerr_F_18.jpg,0
24,FinalData/Images/Mohammad Taha_M_18.jpg,1
25,FinalData/Images/saskia-horley_F_18.jpg,0
26,FinalData/Images/Azmatullah Omarzai_M_18.jpg,1
27,FinalData/Images/kath-hempenstall_F_18.jpg,0
28,FinalData/Images/Nipun Dananjaya_M_18.jpg,1
29,FinalData/Images/maisy-gibson_F_18.jpg,0
30,FinalData/Images/Roni Hossen_M_18.jpg,1
31,FinalData/Images/eliza-doddridge_F_18.jpg,0
32,FinalData/Images/Max Neville_M_18.jpg,1
33,FinalData/Images/moseline-daniels_F_18.jpg,0
34,FinalData/Images/Gerald Coetzee_M_18.jpg,1
35,FinalData/Images/sheldyn-cooper_F_18.jpg,0
36,FinalData/Images/Andile Mokgakane_M_18.jpg,1
37,FinalData/Images/anam-amin_F_18.jpg,0
